pmid,specialty,pub_type_simple_5,journal,title,year
40697891,Surgery,Research Article,Arthroplasty today,Exploring ChatGPT's Efficacy in Orthopaedic Arthroplasty Questions Compared to Adult Reconstruction Surgeons.,2025
41632124,Medical Informatics / Digital Health,Research Article,JAMA network open,Vulnerability of Large Language Models to Prompt Injection When Providing Medical Advice.,2025
40706476,Medical Informatics / Digital Health,Letter,Journal of clinical anesthesia,Limitations of large language models in dynamic clinical decision making.,2025
40537498,Internal Medicine / Primary Care,Research Article,Scientific reports,Evaluating the utility of ChatGPT in addressing conceptual and non-conceptual questions related to urodynamic quality control and trace analysis.,2025
41517540,Ophthalmology,Research Article,Journal of clinical medicine,Diagnostic Performance of ChatGPT-4o in Classifying Idiopathic Epiretinal Membrane Based on Optical Coherence Tomography.,2025
40033723,Surgery,Research Article,Asian spine journal,Can generative artificial intelligence provide accurate medical advice?: a case of ChatGPT versus Congress of Neurological Surgeons management of acute cervical spine and spinal cord injuries clinical guidelines.,2025
40120387,Emergency Medicine / Critical Care,Research Article,The American journal of emergency medicine,Chat-GPT in triage: Still far from surpassing human expertise - An observational study.,2025
38228809,Oncology,Research Article,Prostate cancer and prostatic diseases,Quality of information and appropriateness of Open AI outputs for prostate cancer.,2025
41254805,Medical Education,Research Article,"Advances in simulation (London, England)",Demographic biases in AI-generated simulated patient cohorts: a comparative analysis against census benchmarks.,2025
40196917,Radiology / Diagnostic Imaging,Research Article,Journal of medical imaging and radiation oncology,Comparative Performance of Anthropic Claude and OpenAI GPT Models in Basic Radiological Imaging Tasks.,2025
41601756,Cardiology,Research Article,Frontiers in medicine,Diagnostic accuracy of ChatGPT for 12-lead ECG-based localisation of ventricular ectopic foci prior to catheter ablation.,2025
41230245,Medical Informatics / Digital Health,Research Article,Journal of healthcare informatics research,Socio-Demographic Modifiers Shape Large Language Models' Ethical Decisions.,2025
39422726,Radiology / Diagnostic Imaging,Research Article,European radiology,Revolution or risk?-Assessing the potential and challenges of GPT-4V in radiologic image interpretation.,2025
40317970,Dentistry,Research Article,International endodontic journal,The detection of apical radiolucencies in periapical radiographs: A comparison between an artificial intelligence platform and expert endodontists with CBCT serving as the diagnostic benchmark.,2025
39878893,Radiology / Diagnostic Imaging,Research Article,The British journal of radiology,Real world clinical experience of using Brainomix e-CTA software in a medium size acute National Health Service Trust.,2025
39499794,Medical Informatics / Digital Health,Commentary,Journal of the American Medical Informatics Association : JAMIA,Is ChatGPT worthy enough for provisioning clinical decision support?,2025
39711253,Multidisciplinary / Other,Research Article,Veterinary and comparative oncology,Precision in Parsing: Evaluation of an Open-Source Named Entity Recognizer (NER) in Veterinary Oncology.,2025
40648874,Surgery,Research Article,Journal of clinical medicine,ChatGPT in the Management of Chronic Rhinosinusitis with Nasal Polyps: Promising Support or Digital Illusion? Insights from a Multicenter Observational Study.,2025
39673022,Oncology,Research Article,Journal of cancer education : the official journal of the American Association for Cancer Education,Utility of Chatbot Literature Search in Radiation Oncology.,2025
39155793,Radiology / Diagnostic Imaging,Research Article,"Diagnostic and interventional radiology (Ankara, Turkey)",Evaluating Microsoft Bing with ChatGPT-4 for the assessment of abdominal computed tomography and magnetic resonance images.,2025
40554973,Medical Informatics / Digital Health,Research Article,Computers in biology and medicine,From BERT to generative AI - Comparing encoder-only vs. large language models in a cohort of lung cancer patients for named entity recognition in unstructured medical reports.,2025
41068092,Medical Informatics / Digital Health,Research Article,Nature communications,Adversarial prompt and fine-tuning attacks threaten medical large language models.,2025
40117499,Dermatology,Research Article,JMIR dermatology,Evaluating the Diagnostic Accuracy of ChatGPT-4 Omni and ChatGPT-4 Turbo in Identifying Melanoma: Comparative Study.,2025
40524839,Medical Informatics / Digital Health,Research Article,JAMIA open,Computerized diagnostic decision support systems-Isabel Pro versus ChatGPT-4 part II.,2025
39952316,Dentistry,Review,Journal of endodontics,A Review of ChatGPT as a Reliable Source of Scientific Information Regarding Endodontic Local Anesthesia.,2025
40657647,Internal Medicine / Primary Care,Research Article,Frontiers in digital health,"Accuracy of ChatGPT-3.5, ChatGPT-4o, Copilot, Gemini, Claude, and Perplexity in advising on lumbosacral radicular pain against clinical practice guidelines: cross-sectional study.",2025
38852711,Surgery,Research Article,Journal of shoulder and elbow surgery,Can Chat-GPT assist orthopedic surgeons in evaluating the quality of rotator cuff surgery patient information videos?,2025
40289855,Internal Medicine / Primary Care,Research Article,Annals of laboratory medicine,Evaluation of Six Large Language Models for Clinical Decision Support: Application in Transfusion Decision-making for RhD Blood-type Patients.,2025
39924377,Radiology / Diagnostic Imaging,Research Article,Academic radiology,ChatGPT-4o's Performance in Brain Tumor Diagnosis and MRI Findings: A Comparative Analysis with Radiologists.,2025
40596239,Ophthalmology,Research Article,Scientific reports,Large language models provide discordant information compared to ophthalmology guidelines.,2025
40041831,Surgery,Research Article,"Arthroscopy, sports medicine, and rehabilitation",ChatGPT-3.5 and -4.0 Do Not Reliably Create Readable Patient Education Materials for Common Orthopaedic Upper- and Lower-Extremity Conditions.,2025
40175645,Surgery,Research Article,"European spine journal : official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society",AI versus the spinal surgeons in the management of controversial spinal surgery scenarios.,2025
39162781,Radiology / Diagnostic Imaging,Research Article,Japanese journal of radiology,Preliminary assessment of TNM classification performance for pancreatic cancer in Japanese radiology reports using GPT-4.,2025
39805470,Radiology / Diagnostic Imaging,Research Article,The spine journal : official journal of the North American Spine Society,Comparative diagnostic accuracy of ChatGPT-4 and machine learning in differentiating spinal tuberculosis and spinal tumors.,2025
39935064,Medical Informatics / Digital Health,Research Article,Clinical pharmacology and therapeutics,Chat GPT vs. Clinical Decision Support Systems in the Analysis of Drug-Drug Interactions.,2025
38760650,Surgery,Research Article,Obesity surgery,Evaluation of the Impact of ChatGPT on the Selection of Surgical Technique in Bariatric Surgery.,2025
40272814,Medical Informatics / Digital Health,Research Article,JAMA ophthalmology,Exploring Detection Methods for Synthetic Medical Datasets Created With a Large Language Model.,2025
40405178,Internal Medicine / Primary Care,Research Article,BMC medical education,Challenging cases of hyponatremia incorrectly interpreted by ChatGPT.,2025
40584686,Dermatology,Research Article,The World Allergy Organization journal,How accurate are ChatGPT-4 responses in chronic urticaria? A critical analysis with information quality metrics.,2025
39579604,Obstetrics / Gynecology,Research Article,International journal of obstetric anesthesia,Accuracy of Spanish and English-generated ChatGPT responses to commonly asked patient questions about labor epidurals: a survey-based study among bilingual obstetric anesthesia experts.,2025
40055537,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,Unregulated large language models produce medical device-like output.,2025
40961147,Medical Informatics / Digital Health,Research Article,Proceedings of the National Academy of Sciences of the United States of America,Does AI help humans make better decisions? A statistical evaluation framework for experimental and observational studies.,2025
40726742,Medical Informatics / Digital Health,Research Article,Journal of healthcare informatics research,LongHealth: A Question Answering Benchmark with Long Clinical Documents.,2025
39999963,Radiology / Diagnostic Imaging,Research Article,Korean journal of radiology,Performance of Digital Mammography-Based Artificial Intelligence Computer-Aided Diagnosis on Synthetic Mammography From Digital Breast Tomosynthesis.,2025
40831290,Surgery,Research Article,Foot & ankle specialist,Billing and Coding in Foot and Ankle Surgery: Can We Trust Artificial Intelligence?,2025
40807198,Dentistry,Research Article,Journal of clinical medicine,Evaluation of an Intraoral Camera with an AI-Based Application for the Detection of Gingivitis.,2025
39613920,Radiology / Diagnostic Imaging,Research Article,Emergency radiology,Diagnostic performance of ChatGPT in tibial plateau fracture in knee X-ray.,2025
40182256,Surgery,Research Article,JSES international,Can popular AI large language models provide reliable answers to frequently asked questions about rotator cuff tears?,2025
41289564,Surgery,Research Article,JMIR formative research,"Evaluating Locally Run Large Language Models (Gemma 2, Mistral Nemo, and Llama 3) for Outpatient Otorhinolaryngology Care: Retrospective Study.",2025
40959025,Surgery,Research Article,JSES international,Evaluating the perspectives of ChatGPT and Gemini on glenohumeral osteoarthritis management.,2025
41040620,Dentistry,Research Article,Journal of dental sciences,Performance of artificial intelligence chatbots in National dental licensing examination.,2025
39216786,Medical Informatics / Digital Health,Research Article,Archives of physical medicine and rehabilitation,Disability Ethics and Education in the Age of Artificial Intelligence: Identifying Ability Bias in ChatGPT and Gemini.,2025
40416675,Medical Informatics / Digital Health,Research Article,Frontiers in public health,"Generative AI's healthcare professional role creep: a cross-sectional evaluation of publicly accessible, customised health-related GPTs.",2025
40299004,Obstetrics / Gynecology,Research Article,Archives of gynecology and obstetrics,The performance of sonographic antenatal birth weight assessment assisted with artificial intelligence compared to that of manual examiners at term.,2025
40019299,Medical Informatics / Digital Health,Research Article,Journal of patient safety,The Misinformation Risks of Generative AI in Health Care: A Patient-centered Perspective.,2025
40782043,Radiology / Diagnostic Imaging,Research Article,Journal of medical imaging and radiation oncology,The Quality of Information Produced by ChatGPT About Conditions Managed by Interventional Radiologists.,2025
41038984,Medical Informatics / Digital Health,Research Article,NPJ digital medicine,A longitudinal analysis of declining medical safety messaging in generative AI models.,2025
39211977,Oncology,Research Article,Cancer,Generative artificial intelligence as a source of breast cancer information for patients: Proceed with caution.,2025
41004181,Medical Informatics / Digital Health,Research Article,JAMA health forum,Benefit-Risk Reporting for FDA-Cleared Artificial Intelligence-Enabled Medical Devices.,2025
41162483,Medical Informatics / Digital Health,Research Article,Scientific reports,Evaluating the performance of large language models versus human researchers on real world complex medical queries.,2025
41167474,Surgery,Research Article,Hand surgery & rehabilitation,ChatGPT and claude in hand surgery: an explanatory evaluation of clinical decision support on common surgical cases.,2025
41245704,Surgery,Review,Journal of experimental orthopaedics,Artificial intelligence fails to outperform orthopaedic surgeons: A systematic review.,2025
40584716,Medical Education,Review,Frontiers in medicine,"Standardized clinical assessments and advanced AI-driven instruments used to evaluate neurofunctional deficits, including within biomarker based framework, in Parkinson's disease - human intelligence made vs. AI models - systematic review.",2025
41225986,Radiology / Diagnostic Imaging,Research Article,"Diagnostics (Basel, Switzerland)","Variability of ChatGPT in Interpreting the Lexicon of ACR-TIRADS, EU-TIRADS, and K-TIRADS.",2025
41118647,Mental Health / Psychiatry,Research Article,JMIR AI,Aiding Large Language Models Using Clinical Scoresheets for Neurobehavioral Diagnostic Classification From Text: Algorithm Development and Validation.,2025
40355854,Mental Health / Psychiatry,Research Article,BMC psychiatry,A controlled trial examining large Language model conformity in psychiatric assessment using the Asch paradigm.,2025
40772773,Medical Education,Research Article,Simulation in healthcare : journal of the Society for Simulation in Healthcare,Exploring AI Hallucinations of ChatGPT: Reference Accuracy and Citation Relevance of ChatGPT Models and Training Conditions.,2025
40912058,Dermatology,Research Article,"European journal of cancer (Oxford, England : 1990)",The art of diagnosing rare skin tumors: Can DL-CNNs enhance dermatologists' diagnostic accuracy?,2025
39873040,Dentistry,Research Article,Journal of dental sciences,Evaluating the image recognition capabilities of GPT-4V and Gemini Pro in the Japanese national dental examination.,2025
41381251,Oncology,Research Article,European urology oncology,"Benchmarking Large Language Models Against Multidisciplinary Tumor Boards in Urological Oncology: Results from the Blinded, Prospective CONCORDIA Study.",2025
40802099,Surgery,Research Article,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,"Readability, understandability, and quality of online education materials and large language models for retrograde cricopharyngeal muscle dysfunction.",2025
39560355,Medical Informatics / Digital Health,Research Article,Nursing inquiry,Is Generative AI Increasing the Risk for Technology-Mediated Trauma Among Vulnerable Populations?,2025
